dma_code,baseline_month,current_avg_mnf,baseline_avg_mnf,mnf_delta_pct,mnf_delta_abs,mnf_color,current_avg_daily_total,baseline_avg_daily_total,inflow_delta_pct,inflow_delta_abs,inflow_color,n_valid_days_current,n_valid_days_baseline,current_window_start,current_window_end,generated_at
DM-03-06-08-02,2025-09,168.432,201.553,-16.43,-33.12,green,6936.51,7137.85,-2.82,-201.34,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-09-01,2025-09,21.466,111.185,-80.69,-89.72,green,1828.44,3271.06,-44.1,-1442.62,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-10-01,2025-09,39.327,123.112,-68.06,-83.78,green,2503.27,3794.14,-34.02,-1290.87,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-11-01,2025-09,0.784,3.474,-77.43,-2.69,green,49.98,89.23,-43.99,-39.25,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-12-01,2025-09,48.633,27.333,77.93,21.3,red,2400.23,1385.56,73.23,1014.67,red,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-13-01,2025-09,35.966,34.617,3.9,1.35,green,1542.64,1446.19,6.67,96.45,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-06-13-02,2025-09,,,,,gray,384.29,381.9,0.63,2.39,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-03-10-10-04,2025-09,0.0,0.0,,,gray,0.0,0.0,,,gray,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-04-03-01-01,2025-09,94.889,96.646,-1.82,-1.76,green,2929.57,2982.8,-1.78,-53.23,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-04-03-01-02,2025-09,36.327,26.065,39.37,10.26,red,2165.93,2026.28,6.89,139.65,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-04-03-02-01,2025-09,59.017,76.814,-23.17,-17.8,green,2312.33,2620.55,-11.76,-308.22,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-04-03-03-01,2025-09,89.493,106.936,-16.31,-17.44,green,3089.45,3671.06,-15.84,-581.61,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-04-03-04-01,2025-09,94.071,80.99,16.15,13.08,yellow,3093.73,2713.94,13.99,379.79,yellow,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-04-03-05-01,2025-09,102.381,100.533,1.84,1.85,green,3703.98,3734.97,-0.83,-30.99,green,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
DM-04-03-06-01,2025-09,0.0,0.0,,,gray,0.0,0.0,,,gray,7.0,30.0,2026-08-26,2026-09-01,2026-09-03 11:36:56
