dma_code,dma_name,case,status,case_reason,mnf_start,mnf_end,current_mnf,baseline_mean,baseline_sd,threshold,watch_threshold,mk_z,mk_trend,mk_significant,cusum_h,cusum_breached,cusum_recent_breach,cusum_step_rapid,cusum_rise_days,mnf_recovered,mnf_excess_ratio,excess_too_small,sustained_flow_breach,sustained_run_intervals,pressure_drop_confirmed,hard_threshold_breached,excess_per_hour,est_loss_per_day,base_win_len,last_data_date,last_day_coverage,last_day_full,r_eff_median,loss_factor_median,proximity_estimate,favad_volume_total,user_type,pipe_material,rtu_zigzag_ratio,rtu_zigzag_flag,generated_at
DM-01-07-04-01,DM-01-07-04-01,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 2.4 m³/hr (6.3% ของค่าเฉลี่ยฐาน 38.5 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,01:00,03:00,40.875,38.464,1.287,41.039,39.752,0.629,เพิ่มขึ้นเล็กน้อย,False,5.149,True,True,True,6.0,False,0.0627,True,True,23,True,False,1.577,37.86,14,2026-09-06,96,True,0.0,3e-05,,37.86,RESIDENTIAL,PVC,0.4149,False,2026-09-08 07:56:48
DM-01-07-04-03,DM-01-07-04-03,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 1.7 m³/hr (5.7% ของค่าเฉลี่ยฐาน 30.6 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,01:45,03:45,32.375,30.643,1.124,32.891,31.767,0.449,เพิ่มขึ้นเล็กน้อย,False,4.495,True,False,True,5.0,False,0.0565,True,False,7,False,False,2.315,55.57,14,2026-09-06,96,True,0.0,0.00023,,55.57,RESIDENTIAL,PVC,0.5,False,2026-09-08 07:56:48
DM-01-07-05-01,DM-01-07-05-01,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 1.1 m³/hr (2.0% ของค่าเฉลี่ยฐาน 56.3 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,02:00,04:00,57.375,56.277,2.489,61.255,58.766,1.073,เพิ่มขึ้นเล็กน้อย,False,9.956,True,False,True,3.0,False,0.0195,True,False,1,False,False,1.515,36.36,14,2026-09-06,96,True,0.0,0.00082,,36.36,RESIDENTIAL,PVC,0.4787,False,2026-09-08 07:56:48
DM-01-07-06-01,DM-01-07-06-01,B,watch,Mann-Kendall ยืนยันแนวโน้มขึ้นต่อเนื่อง,01:45,03:45,17.5,12.25,0.971,14.191,13.221,1.706,เพิ่มขึ้นชัดเจน,True,3.882,True,False,True,6.0,False,0.4286,False,True,24,False,False,4.208,101.0,14,2026-09-06,96,True,0.0,3e-05,ใกล้กับ RTU (< 2 กม. โดยประมาณ),101.0,RESIDENTIAL,PVC,0.5714,False,2026-09-08 07:56:48
DM-01-07-06-03,DM-01-07-06-03,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 0.0 m³/hr (0.1% ของค่าเฉลี่ยฐาน 19.3 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,01:45,03:45,19.375,19.348,2.7,24.748,22.048,2.705,เพิ่มขึ้นชัดเจน,True,10.799,False,False,False,,False,0.0014,True,False,1,False,False,0.152,3.64,14,2026-09-06,96,True,0.0,0.1,,3.64,RESIDENTIAL,PVC,0.5,False,2026-09-08 07:56:48
DM-01-08-01-03,DM-01-08-01-03,C,ok,MNF ล่าสุด (53.2 m³/hr) / ส่วนเกินเฉลี่ย 3 วัน (-60.9 m³/hr) กลับมาที่ระดับค่าเฉลี่ยฐาน (114.9 m³/hr) แล้ว — ไม่มีน้ำสูญเสียส่วนเกินเหลืออยู่ ถือว่าเหตุการณ์จบ/ซ่อมเสร็จแล้ว จึงไม่ขึ้นเตือน,01:45,03:45,53.25,114.946,7.109,129.165,122.056,-1.073,ลดลงเล็กน้อย,False,28.438,True,False,True,3.0,True,-0.5367,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.4946,False,2026-09-08 07:56:48
DM-01-08-02-01,DM-01-08-02-01,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 0.9 m³/hr (1.4% ของค่าเฉลี่ยฐาน 62.0 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,01:45,03:45,62.875,62.018,2.336,66.689,64.353,1.073,เพิ่มขึ้นเล็กน้อย,False,9.342,True,True,True,6.0,False,0.0138,True,False,0,False,False,7.399,177.57,14,2026-09-06,96,True,0.0,0.01117,,177.57,RESIDENTIAL,PVC,0.5652,False,2026-09-08 07:56:48
DM-01-08-04-01,DM-01-08-04-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),01:45,03:45,43.375,41.482,2.156,45.795,43.638,0.894,เพิ่มขึ้นเล็กน้อย,False,8.625,False,False,False,,False,0.0456,True,False,2,False,False,0.893,21.43,14,2026-09-06,96,True,0.0,0.00019,,21.43,RESIDENTIAL,PVC,0.5957,False,2026-09-08 07:56:48
DM-01-08-04-03,DM-01-08-04-03,C,ok,มีสัญญาณเชิงสถิติ แต่ส่วนเกิน MNF อยู่แค่ 13.2 m³/hr (6.9% ของค่าเฉลี่ยฐาน 190.4 m³/hr) ต่ำกว่าเกณฑ์ปริมาณขั้นต่ำที่ตั้งไว้ (20%) — ยังไม่คุ้มส่งตรวจ เฝ้าดูต่อ,00:00,02:00,203.625,190.393,4.036,198.464,194.429,0.894,เพิ่มขึ้นเล็กน้อย,False,16.143,True,False,True,3.0,False,0.0695,True,True,25,True,False,5.357,128.57,14,2026-09-06,96,True,0.0,0.0,,128.57,RESIDENTIAL,PVC,0.3404,False,2026-09-08 07:56:48
DM-01-09-01-01,DM-01-09-01-01,C,ok,ไม่พบสัญญาณผิดปกติเชิงสถิติ (ใช้น้ำตามพฤติกรรมปกติ),02:00,04:00,142.0,159.973,7.163,174.299,167.136,-0.537,ลดลงเล็กน้อย,False,28.651,False,False,False,,True,-0.1124,True,False,0,False,False,0.0,0.0,14,2026-09-06,96,True,0.0,0.1,,0.0,RESIDENTIAL,PVC,0.5213,False,2026-09-08 07:56:48
